idx_clusteur,nearest_sample
0," en date du 19 juin 2023 portant désignation des médecins du conseil médical ; Vu l'arrêté préfectoral nº65-2024-01-17-00007 en date du 17 janvier 2024 portant modification du conseil médical plénier pour les agents relevant de la fonction publique hospitalière des Hautes-Pyrénées; VU la demande du centre Jean-Marie LARRIEU en date du 23 janvier 2024; Sur proposition du directeur départemental de l'emploi, du travail, des solidarités et de la protection des populations; ARRÊTE ARTICLE 1: L'article 3 de l'arrêté préfectoral n°65-2023-05-02-00003 du 2 mai 2023 est modifié de la manière suivante : Les représentants de l'administration choisis par tirage au sort pour siéger au conseil médical en formation plénière sont : Titulaires : Docteur NETTER Jean-Claude, Centre hospitalier de Tarbes-Lourdes Docteur SEVERIN Laure, Centre hospitalier de Lannemezan Suppléants: Monsieur CALVET Olivier, Centre Jean-Marie LARRIEU ARTICLE 2: Monsieur DE VOS Denis, EHPAD Les Résidences du Val d'Adour Les autres articles demeurent inchangés. ARTICLE 3: Madame la secrétaire générale de la préfecture et Monsieur le directeur départemental de l'emploi, du travail, des solidarités et de la protection des populations sont chargés, chacun en ce qui le concerne, de l'exécution du présent arrêté qui sera publié au recueil des actes administratifs de la préfecture du département des Hautes-Pyrénées. Fait à Tarbes, le 08 10412024 Le préfet Le préfet Jean SALOMON DDETSPP Hautes-Pyrénées - 65-2024-04-08-00007 - Arrêté modification CMP FPHosp 04-2024 12"
1, Arrêté préfectoral nºDDT/S2E-2024/034 du 24 février 2024 portant modification de l'arrêté n°2012-N-SOCIETE-084-0022 du 2 juillet 2021 portant agrément de la société ASSAINISSEMENT DE PROVENCE ET LUBERON pour l'activité de vidange et de prise en charge du transport et de l'élimination des matières extraites des installations d'assainissement non collectif DIRECTION DEPARTEMENTALE DES TERRITOIRES - 84-2024-02-24-00001 -Arrêté préfectoral n°DDT/S2E-2024/034 du 24 février 2024 portant modification de l'arrêté n°2012-N-SOCIETE-084-0022 du 2 juillet 2021 portant agrément de la société ASSAINISSEMENT DE PROVENCE ET LUBERON pour l'activité de vidange et de prise en charge du transport et de l'élimination des matières extraites des 24
2, Délégation signature - Pôle Gestion publique - avril 2024 01_DDFIP_Direction départementale des finances publiques de l Ain - 01-2024-04-03-00009 - Délégation signature - Pôle Gestion publique - avril 2024 22
3, - Arrêté du 13 mars 2024 portant autorisation d'installer et d'exploiter un système de vidéoprotection à la DIPN 29 à Quimper 1 78
4," en date du 5 février 2024, portant délégation de signature à Monsieur François JOUFFROY ; VU la demande du groupement de gendarmerie départemental de la Drôme, en date du 26 mars 2024 dans le cadre de la protection du déplacement présidentiel en Drôme le 16 avril 2024, CONSIDÉRANT la nécessité de réglementer l'espace aérien au-dessus de la ville de Vassieux-en- Vercors en vue d'assurer la sécurité du déplacement de M. le Président de la République, le 16 avril 2024, de 14h00 à 19h00, SUR proposition de M. le Directeur de cabinet; ARRÊTE Article 1: Afin d'assurer la sécurité d'un déplacement de M. le Président de la République, il est créé deux zones d'interdictions de survol (ZIT) sur la commune de Vassieux-en-Vercors le jeudi 16 avril 2024 de 14h00 à 19h00 locales (12h00 à 17h00 UTC) selon les critères suivantes : Limites latérales : • • ZIT 1 Mémorial: cercle de 0.55 km de rayon (0.3 Nm) centré sur le point de coordonnées géographiques suivant: 44°54'24.00″N - 005°21′34″E; ZIT 2 Mairie cercle de 0.55 km de rayon (0.3 Nm) centré sur le point de coordonnées géographiques suivant: 44°53'43.50""N - 5°22'15.07""E; Limites verticales : du sol à 500 pieds/surface (152 mètres/surface). 3 boulevard Vauban 26030 VALENCE CEDEX9 Tél. : 04 75 79 28 00 Mél. prefecture@drome.gouv.fr www.drome.gouv.fr 1/2 26_Préf_Préfecture de la Drôme - 26-2024-04-05-00006 - Arrêté préfectoral en date du 5 avril 2024 portant interdiction temporaire de survol 8"
5, Arrêté portant modification d'une habilitation dans le domaine funéraire - n°22-33-0302 - Etablissement secondaire Sarl POMPES FUNEBRES FABER- Bordeaux (33200) PREFECTURE DE LA GIRONDE - 33-2024-02-01-00008 - Arrêté portant modification d'une habilitation dans le domaine funéraire - n°22-33-0302 - Etablissement secondaire Sarl POMPES FUNEBRES FABER - Bordeaux (33200) 23
6, Arrêté préfectoral 2024/DRCL/BLI/n°3 du 18 janvier 2024 portant modification des statuts du syndicat intercommunal à vocation multiple de Conches-Guermantes PREFECTURE DE SEINE-ET-MARNE - D77-2024-01-18-00002 - Arrêté préfectoral 2024/DRCL/BLI/nº3 du 18 janvier 2024 portant modification des statuts du syndicat intercommunal à vocation multiple de Conches-Guermantes 42
7, Arrêté portant autorisation d installation d un système de vidéoprotection à l établissement Marionnaud situé C. C. Vélizy 2 2 avenue de | Europe 78140 Vélizy-Villacoublay Préfecture des Yvelines - 78-2024-03-07-00034 - Arrêté portant autorisation d installation d un système de vidéoprotection à I établissement Marionnaud situé C. C. Vélizy 2 2 avenue de | Europe 78140 Vélizy-Villacoublay 58
8," Arrêté préfectoral nº568 du 21 mars 2024 portant convocation des électeurs de la commune de SAVILLY et fixant la période de dépôt des candidatures en vue de procéder à des élections municipales complémentaires pour 3 sièges, le dimanche 26 mai 2024 pour le 1er tour et le dimanche 2 juin 2024 pour l'éventuel second tour Sous-préfecture de Beaune - 21-2024-03-21-00002 - Arrêté préfectoral nº568 du 21 mars 2024 portant convocation des électeurs de la commune de SAVILLY et fixant la période de dépôt des candidatures en vue de procéder à des élections municipales complémentaires pour 3 sièges le dimanche 26 mai 2024 pour le 1er tour et le dimanche 2 juin 2024 pour l'éventuel second tour 40"
9, Récépissé de déclaration au titre des Services à la Personne au bénéfice de Madame CHAOUCHE Farah en qualité d entrepreneur individuel domicilié au 61 rue du Rouet 13008 MARSEILLE DDETS 13-13-2024-02-26-00013 - Récépissé de déclaration au titre des Services à la Personne au bénéfice de Madame CHAOUCHE Farah en qualité d entrepreneur individuel domicilié au 61 rue du Rouet 13008 MARSEILLE 75
10," AP 2024-085-006 du 25 mars 2024 autorisant le bénéficiaire, AUTRIC Patrice, à effectuer des tirs de défense simple en vue de la défense de ses troupeaux contre la prédation par le loup (canis lupus) Préfecture des Alpes-de-Haute-Provence - 04-2024-03-25-00001 - AP 2024-085-006 du 25 mars 2024 autorisant le bénéficiaire, AUTRIC Patrice, à effectuer des tirs de défense simple en vue de la défense de ses troupeaux contre la prédation par le loup (canis lupus) 22"
11, Arrêté portant délégation de signature Centre Penitentiaire - R03-2024-03-13-00005 - Arrêté portant délégation de signature 8
12, D-Autorisation Exploiter-EARL GARESTE Direction départementale des territoires et de la mer - 40-2024-02-12-00005 - D-Autorisation Exploiter-EARL GARESTE 184
13, Décision n° DDTM/2024-4 du directeur départemental des territoires et de la mer de l'Eure donnant subdélégation de signature à ses collaborateurs en matière d'ordonnancement secondaire et de pouvoir adjudicateur DDTM-27-2024-02-06-00088 - Décision n° DDTM/2024-4 du directeur départemental des territoires et de la mer de l'Eure donnant subdélégation de signature à ses collaborateurs en matière d'ordonnancement secondaire et de pouvoir adjudicateur 14
14," Arrêté portant subdélégation de signature en matière d'ordonnancement secondaire de Mme Hélène VIAL, directrice départementale de l'emploi, du travail et des solidarités en faveur des personnels de la direction Direction Départemantale de l'Emploi, du Travail et des Solidarités - 64-2024-01-02-00002 - Arrêté portant subdélégation de signature en matière d'ordonnancement secondaire de Mme Hélène VIAL, directrice départementale de l'emploi, du travail et des solidarités en faveur des personnels de la direction 8"
15, Arrêté préfectoral prescrivant l'élaboration du plan de prévention des risques naturels prévisibles sur le territoire de la commune d'ARREAU. DDT Hautes-Pyrenees - 65-2024-03-19-00005 - Arrêté préfectoral prescrivant l'élaboration du plan de prévention des risques naturels prévisibles sur le territoire de la commune d'ARREAU. 7
16, Arrêté nº DOM 2024018 du 31 janvier 2024 portant autorisation pour I exercice de l activité de domiciliation commerciale Préfecture de Police - 75-2024-01-31-00014 - Arrêté nº DOM 2024018 du 31 janvier 2024 portant autorisation pour I exercice de l activité de domiciliation commerciale 20
17, - arrêté du 29 janvier 2024 autorisant une dérogation à la règle du repos dominical des salariés dans le cadre de l'article L3132-20 du code du travail à la société société de raccordements électriques -sre- 11 rue jean-baptiste godin 29170 st evarzec siret 52912660900021 38
18, 26 Centre Hospitalier de Mâcon - 71-2024-03-04-00032 - Décision 2024-37 délégation de signature Mme ONOFRE
19,"7 DE DECLARATION d'un organisme de services à la personne enregistré sous le N° SAP978401461 Vu le code du travail et notamment les articles L.7231-1 à L.7233-2, R.7232-16 à R.7232-22, D.7231-1 et D.7233-1 à D.7233-5 ; Vu l'Arrêté n° 2023-150 du 6 décembre 2023 portant subdélégation de signature en matière d'ordonnancement secondaire des recettes et des dépenses de l'État aux agents de la DRIEETS - Direction régionale interdépartementale de l'économie, de l'emploi, du travail et des solidarités d'Île-de-France; Le préfet de la Seine-Saint-Denis Constate: Qu'une déclaration d'activités de services à la personne a été déposée auprès du service instructeur de la Seine-Saint-Denis, le 03/03/24 par M. BOUROUH KOUSSAILA en qualité de dirigeant(e), pour l'organisme dont l'établissement principal est situé 1 RUE ETIENNE MARCEL 93500 PANTIN et enregistré sous le N° SAP978401461 pour les activités suivantes : • Entretien de la maison et travaux ménagers (mode d'intervention Prestataire) Toute modification concernant les activités exercées devra faire l'objet d'une déclaration modificative préalable. Sous réserve d'être exercées à titre exclusif (ou sous réserve d'une comptabilité séparée pour les personnes morales dispensées de cette condition), ces activités ouvrent droit au bénéfice des dispositions des articles L. 7233-2 du code du travail et L.241-10 du code de la sécurité sociale dans les conditions prévues par ces articles. Les effets de la déclaration courent à compter du jour du dépôt de la déclaration sous réserve des dispositions de l'article R.7232-18 du code du travail. Le présent récépissé n'est pas limité dans le temps. La déclaration a une portée nationale. L'enregistrement de la déclaration peut être retiré dans les conditions fixées aux articles R.7232-20 à R.7232-22 du code du travail. Le présent récépissé sera publié au recueil des actes administratifs de la préfecture. DRIEETS d'Ile-de-France - Unité Départementale de la Seine-Saint-Denis 1, avenue Youri Gagarine 93016 Bobigny Cedex https://idf.drieets.gouv.fr/ 63"
20,"du 23 octobre 2023, portant délégation de signature en matière d'ordonnancement secondaire à M. Yann GERARD, secrétaire général de la Préfecture d'Eure-et-Loir, Vu la note de service nº 25/2023 du 28 novembre 2023, portant affectation de Mme Sylvie JAMET au Service des Sécurités - Pôle sécurité intérieure et ordre public, en tant que Chargée de prévention de la délinquance, de la radicalisation et du repli indentitaire, à compter du 1er décembre 2023, Vu la note de service n° 30/2023 du 20 décembre 2023, portant affectation de Mme Isabelle VASSORT au poste de Coordinatrice sécurité routière, au Service sécurité et éducation routières de la Direction Départementale des Territoires d'Eure-et-Loir, à compter du 1er janvier 2024. ARRÊTE Article 1er : L'arrêté préfectoral nº 70-2023 du 23 octobre 2023, portant délégation de signature en matière d'ordonnancement secondaire à M. Yann GERARD, secrétaire général de la Préfecture d'Eure-et-Loir, est abrogé. Article 2: Délégation de signature est donnée à Yann GERARD, secrétaire général de la préfecture d'Eure-et-Loir, à l'effet de signer tous documents nécessaires à l'engagement comptable, à la liquidation des créances, au mandatement des dépenses, et à l'établissement de titres de perception sur les programmes du budget de l'Etat pour lesquels une délégation n'a pas été consentie à un chef de service de l'Etat dans le département. En cas d'empêchement ou d'absence de M. le secrétaire général, la délégation susvisée est donnée à M. Xavier LUQUET, sous-préfet de l'arrondissement de Dreux. Article 3: Dans le cadre de la plate-forme régionale Chorus, les agents listés en annexe 1 agissent au titre des services prescripteurs, via notamment l'application Chorus Formulaires, en vue de la création des expressions de besoins, de la constatation du service fait à la date de livraison ou de réalisation de la prestation ainsi que de la conservation et de l'archivage des pièces justificatives liées à la constatation du service fait. Article 4: Les agents listés en annexe 2. sont autorisés à utiliser une carte achat pour les dépenses éligibles à ce moyen de paiement et dans la limite des plafonds définis. Article 5: Délégation est donnée à Mme Françoise TOLLIER, directrice des relations avec les collectivités locales, à l'effet de signer tous documents relatifs aux installations des régisseurs chargés d'encaisser les amendes de police municipale, tous documents relatifs à la dissolution d'une régie de recettes d'Etat de la police municipale et tous documents nécessaires à l'engagement comptable des dotations et des subventions au profit des collectivités territoriales et à la liquidation des créances et au mandatement des dépenses sur les programmes du budget de l'Etat correspondants. Cette délégation ne concerne pas les dotations relatives à la DPU. .../... -2-"
21," Arrêté portant reconnaissance du tronc commun d'agrément de l'Association école des arts Service Départemental à la jeunesse, à l'engagement et aux sports de Lot-et-Garonne - 47-2024-01-16-00006 - Arrêté portant reconnaissance du tronc commun d'agrément de l'Association école des arts 41"
22," Récépissé déclaration SAP n°983421785_SAGET Arnaud Direction départementale de l'emploi, du travail, des solidarités et de la protection des populations - 40-2024-01-23-00008 - Récépissé déclaration SAP n°983421785_SAĠET Arnaud 135"
23, - 26 01 AP fermeture Capvern Lannemezan 4
