,precision,recall,f1-score,support
0,0.8257372654155496,0.7642679900744417,0.7938144329896907,403.0
1,0.8875502008032129,0.775438596491228,0.8277153558052435,285.0
10,0.9933035714285714,0.9977578475336323,0.9955257270693513,446.0
11,0.8781512605042017,0.8565573770491803,0.8672199170124482,244.0
12,0.958974358974359,0.8947368421052632,0.9257425742574258,209.0
13,0.7430683918669131,0.7928994082840237,0.767175572519084,507.0
14,0.89171974522293,0.7650273224043715,0.8235294117647058,183.0
15,0.7509025270758123,0.7027027027027027,0.7260034904013961,296.0
16,0.9774436090225563,0.9701492537313433,0.9737827715355806,134.0
17,0.9720670391061452,0.9508196721311475,0.9613259668508287,183.0
18,0.8008915304606241,0.8624,0.8305084745762712,625.0
19,0.9431818181818182,0.8924731182795699,0.9171270718232044,93.0
2,0.8584905660377359,0.8323170731707317,0.8452012383900929,328.0
20,0.720754716981132,0.7753721244925575,0.7470664928292047,739.0
21,0.8793103448275862,0.8885017421602788,0.8838821490467937,287.0
22,0.8093525179856115,0.87890625,0.8426966292134831,256.0
23,0.5652173913043478,0.6213235294117647,0.5919439579684763,544.0
24,0.645414847161572,0.7510162601626016,0.6942226397369657,984.0
25,0.3782608695652174,0.365034965034965,0.3715302491103203,715.0
26,0.7398720682302772,0.6711798839458414,0.7038539553752535,517.0
27,0.9964664310954063,0.9791666666666666,0.9877408056042032,288.0
28,0.7773279352226721,0.7619047619047619,0.7695390781563126,504.0
29,0.9340659340659341,0.9340659340659341,0.9340659340659341,546.0
3,0.6828703703703703,0.7994579945799458,0.7365792759051186,369.0
30,0.9963369963369964,0.9855072463768116,0.9908925318761385,276.0
31,0.9818181818181818,0.9908256880733946,0.9863013698630136,218.0
32,0.9857142857142858,0.971830985915493,0.9787234042553191,71.0
33,0.752755905511811,0.7050147492625368,0.7281035795887281,678.0
34,0.3779527559055118,0.20600858369098712,0.26666666666666666,466.0
35,0.9236363636363636,0.8943661971830986,0.9087656529516994,284.0
36,0.8648233486943164,0.8824451410658307,0.873545384018619,638.0
37,0.9346733668341709,0.8493150684931506,0.8899521531100478,219.0
38,0.5536723163841808,0.6288770053475936,0.5888833249874812,935.0
39,0.6641883519206939,0.721399730820996,0.6916129032258065,743.0
4,0.7919161676646707,0.8317610062893082,0.8113496932515337,636.0
40,0.8355704697986577,0.8137254901960784,0.8245033112582781,306.0
41,0.9197530864197531,0.9254658385093167,0.9226006191950464,161.0
42,0.7880434782608695,0.614406779661017,0.6904761904761905,236.0
43,0.7562408223201175,0.8059467918622848,0.7803030303030303,639.0
44,0.9316239316239316,0.9703264094955489,0.9505813953488372,674.0
45,0.7813504823151125,0.7386018237082067,0.759375,329.0
46,0.9442724458204335,0.9682539682539683,0.9561128526645768,315.0
47,0.8534031413612565,0.8578947368421053,0.8556430446194225,190.0
48,0.8041237113402062,0.7476038338658147,0.7748344370860927,313.0
49,0.9841269841269841,0.96875,0.9763779527559056,128.0
5,0.9700427960057061,0.9728183118741058,0.9714285714285714,699.0
50,0.9940119760479041,0.9540229885057471,0.9736070381231672,174.0
51,0.9217391304347826,0.9532374100719424,0.9372236958443855,556.0
52,0.9370786516853933,0.9586206896551724,0.9477272727272728,435.0
53,0.8221024258760108,0.754950495049505,0.7870967741935484,404.0
54,0.9329268292682927,0.9107142857142857,0.9216867469879518,168.0
55,0.7300275482093664,0.7320441988950276,0.7310344827586207,362.0
56,0.7241379310344828,0.6161369193154034,0.665785997357992,409.0
57,0.9625,0.7857142857142857,0.8651685393258427,196.0
58,0.9934426229508196,0.9742765273311897,0.9837662337662337,311.0
59,0.7304015296367112,0.7594433399602386,0.7446393762183235,503.0
6,0.8061224489795918,0.8386411889596603,0.8220603537981269,471.0
60,0.9523809523809523,0.9693877551020408,0.9608091024020228,392.0
61,0.8282828282828283,0.6165413533834586,0.7068965517241379,266.0
62,0.43414634146341463,0.32541133455210236,0.3719958202716823,547.0
63,0.8004201680672269,0.8072033898305084,0.8037974683544303,472.0
64,0.9263157894736842,0.8979591836734694,0.9119170984455959,294.0
65,0.9347826086956522,0.9110169491525424,0.9227467811158798,236.0
66,0.7545304777594728,0.7435064935064936,0.7489779231398201,616.0
67,0.8702702702702703,0.8298969072164949,0.8496042216358839,194.0
68,0.9200968523002422,0.9134615384615384,0.916767189384801,416.0
69,0.9829545454545454,0.8826530612244898,0.9301075268817204,196.0
7,0.6268656716417911,0.6679920477137177,0.6467757459095284,503.0
70,0.6457765667574932,0.6879535558780842,0.6661981728742095,689.0
71,1.0,0.972972972972973,0.9863013698630136,74.0
72,0.7061855670103093,0.7025641025641025,0.7043701799485861,195.0
73,1.0,0.9433962264150944,0.970873786407767,106.0
74,0.5703517587939698,0.6367461430575035,0.6017229953611664,713.0
75,0.6823734729493892,0.6706689536878216,0.6764705882352942,583.0
